"","t1","t2","norm.dist","dataset","test"
"93","fail","pass",NA,"Fong_2012","MPTIS"
"94","all","fail",0.250679162282429,"Fong_2012","MPTMS"
"95","all","pass",0.641994066859185,"Fong_2012","MPTMS"
"96","fail","pass",0.609065988860759,"Fong_2012","MPTMS"
"97","all","fail",0.269932898319408,"Fong_2012","MPTS"
"98","all","pass",0.651371705806727,"Fong_2012","MPTS"
"99","fail","pass",0.641143243742266,"Fong_2012","MPTS"
"100","all","fail",0.292936886934848,"Horn_2014","MPTIS"
"101","all","pass",0.249695755336601,"Horn_2014","MPTIS"
"102","fail","pass",0.386548728570522,"Horn_2014","MPTIS"
"103","all","fail",0.261368035709893,"Horn_2014","MPTMS"
"104","all","pass",0.311869191467738,"Horn_2014","MPTMS"
"105","fail","pass",0.355104031020711,"Horn_2014","MPTMS"
"106","all","fail",0.432586617625234,"Horn_2014","MPTS"
"107","all","pass",0.202879188779631,"Horn_2014","MPTS"
"108","fail","pass",0.517778197807993,"Horn_2014","MPTS"
"109","all","fail",NA,"Kawahara_2013","MPTIS"
"110","all","pass",NA,"Kawahara_2013","MPTIS"
"111","fail","pass",NA,"Kawahara_2013","MPTIS"
"112","all","fail",0.24139876989659,"Kawahara_2013","MPTMS"
"113","all","pass",0.43433090539662,"Kawahara_2013","MPTMS"
"114","fail","pass",0.473247491768506,"Kawahara_2013","MPTMS"
"115","all","fail",0.417615020349519,"Kawahara_2013","MPTS"
"116","all","pass",0.235049870332903,"Kawahara_2013","MPTS"
"117","fail","pass",0.453357042581324,"Kawahara_2013","MPTS"
"118","all","fail",NA,"Lartillot_2012","MPTIS"
"119","all","pass",NA,"Lartillot_2012","MPTIS"
"120","fail","pass",NA,"Lartillot_2012","MPTIS"
"121","all","fail",0,"Lartillot_2012","MPTMS"
"122","all","pass",0.28977605612721,"Lartillot_2012","MPTMS"
"123","fail","pass",0.289608320045513,"Lartillot_2012","MPTMS"
"124","all","fail",0.0991052143819886,"Lartillot_2012","MPTS"
"125","all","pass",0.331994693931211,"Lartillot_2012","MPTS"
"126","fail","pass",0.329432400832479,"Lartillot_2012","MPTS"
"127","all","fail",0.597992253127913,"McCormack_2013","MPTIS"
"128","all","pass",0.312462952082122,"McCormack_2013","MPTIS"
"129","fail","pass",0.632616982988785,"McCormack_2013","MPTIS"
"130","all","fail",0.466889743745658,"McCormack_2013","MPTMS"
"131","all","pass",0.411112278597567,"McCormack_2013","MPTMS"
"132","fail","pass",0.488389470065855,"McCormack_2013","MPTMS"
"133","all","fail",0.65152888514859,"McCormack_2013","MPTS"
"134","all","pass",0.267123949119522,"McCormack_2013","MPTS"
"135","fail","pass",0.624709954774279,"McCormack_2013","MPTS"
"136","all","fail",NA,"Moyle_2016","MPTIS"
"137","all","pass",NA,"Moyle_2016","MPTIS"
"138","fail","pass",NA,"Moyle_2016","MPTIS"
"139","all","fail",0.27420094301637,"Moyle_2016","MPTMS"
"140","all","pass",0.164721462400713,"Moyle_2016","MPTMS"
"141","fail","pass",0.265431296545706,"Moyle_2016","MPTMS"
"142","all","fail",0.274944235530348,"Moyle_2016","MPTS"
"143","all","pass",0.150127201873234,"Moyle_2016","MPTS"
"144","fail","pass",0.28699797399227,"Moyle_2016","MPTS"
"145","all","fail",NA,"Murray_2013","MPTIS"
"146","all","pass",NA,"Murray_2013","MPTIS"
"147","fail","pass",NA,"Murray_2013","MPTIS"
"148","all","fail",NA,"Murray_2013","MPTMS"
"149","all","pass",NA,"Murray_2013","MPTMS"
"150","fail","pass",NA,"Murray_2013","MPTMS"
"151","all","fail",NA,"Murray_2013","MPTS"
"152","all","pass",NA,"Murray_2013","MPTS"
"153","fail","pass",NA,"Murray_2013","MPTS"
"154","all","fail",0.303260544749043,"Oaks_2011","MPTIS"
"155","all","pass",0.173652965121442,"Oaks_2011","MPTIS"
"156","fail","pass",0.364853918406486,"Oaks_2011","MPTIS"
"157","all","fail",0.203357868533777,"Oaks_2011","MPTMS"
"158","all","pass",0.206023201067717,"Oaks_2011","MPTMS"
"159","fail","pass",0.303241775678941,"Oaks_2011","MPTMS"
"160","all","fail",0.286539805968963,"Oaks_2011","MPTS"
"161","all","pass",0.224776282614306,"Oaks_2011","MPTS"
"162","fail","pass",0.401342011587241,"Oaks_2011","MPTS"
"163","all","fail",NA,"Rightmyer_2013","MPTIS"
"164","all","pass",NA,"Rightmyer_2013","MPTIS"
"165","fail","pass",NA,"Rightmyer_2013","MPTIS"
"166","all","fail",0.661362153454003,"Rightmyer_2013","MPTMS"
"167","all","pass",0.625511627052401,"Rightmyer_2013","MPTMS"
"168","fail","pass",0.850333078652743,"Rightmyer_2013","MPTMS"
"169","all","fail",0.601537803947844,"Rightmyer_2013","MPTS"
"170","all","pass",0.569219503445567,"Rightmyer_2013","MPTS"
"171","fail","pass",0.805420290824717,"Rightmyer_2013","MPTS"
"172","all","fail",NA,"Sauquet_2011","MPTIS"
"173","all","pass",NA,"Sauquet_2011","MPTIS"
"174","fail","pass",NA,"Sauquet_2011","MPTIS"
"175","all","fail",NA,"Sauquet_2011","MPTMS"
"176","all","pass",NA,"Sauquet_2011","MPTMS"
"177","fail","pass",NA,"Sauquet_2011","MPTMS"
"178","all","fail",NA,"Sauquet_2011","MPTS"
"179","all","pass",NA,"Sauquet_2011","MPTS"
